Repo,NodeName,dataType (bits),inFIFODepths (dimensions flattened),inWidth,outFIFODepths (dimensions flattened),outWidth,shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,8,656,72,82944,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,8,32,72,115200,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,16,2,128,12800,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,32,128,128,1,3200,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,2,1,63,72,10368,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,2,2,1,2304,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,1,766,3,2304,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,2,8,256,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_12,1,2,1,2,16,512,0.015,0.015,0.0,0,0.0216,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,24,783,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,4,86,32,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,32,2,64,50176,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,64,8,12544,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,8,32,72,82944,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,16,608,8,18432,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,8,32,72,115200,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,2,16,2,128,12800,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,32,128,640,1,3200,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,1,32,72,10368,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,4,2,1,2304,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,766,3,2304,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_12,1,2,1,2,8,256,0.015,0.015,0.0,0,0.0216,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,3644,8,900,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,632,1,14400,4,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,4,32,72,451584,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,2,4,2,64,50176,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,32,64,512,1,12544,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,1,118,96,82944,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,2,1,32,72,115200,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,2,2,2,128,12800,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,32,128,2,1,3200,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,1,238,24,10368,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,1,766,3,2304,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_700fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,125,2,512,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,24,2,216,24300,0.0376,0.0376,0.0,0,0.2312,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,1,2,8,2,64,57600,0.0132,0.0132,0.0,0,0.0385,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,1,2,32,2,64,50176,0.0357,0.0357,0.0,0,0.093,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,1,32,64,64,8,12544,0.0752,0.0752,0.0,0,0.0742,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_4,1,2,8,32,72,82944,0.0188,0.0188,0.0,0,0.078,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_5,1,2,16,2,128,12800,0.0244,0.0244,0.0,0,0.0808,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_6,1,32,128,640,1,3200,0.0263,0.0263,0.0,0,0.14,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_7,1,2,1,32,72,10368,0.1466,0.1466,0.0,0,0.1316,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_8,1,2,4,2,1,2304,0.0207,0.0207,0.0,0,0.0771,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_9,1,2,1,766,3,2304,0.0188,0.0188,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_10,1,2,1,2,16,256,0.0132,0.0132,0.0,0,0.0075,0.0,0.0,0.0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_11,1,2,1,2,32,512,0.0132,0.0132,0.0,0,0.0132,0.0,0.0,0.0
