Repo,Instance,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t2w2_500fps_u,StreamingFIFO_rtl_2,30,30,0,0,73,4,0,0
t2w2_500fps_u,StreamingFIFO_rtl_3,26,24,0,2,12,0,0,0
t2w2_500fps_u,StreamingFIFO_rtl_4,43,43,0,0,57,0,1,0
t2w2_500fps_u,StreamingFIFO_rtl_5,27,27,0,0,61,0,1,0
t2w2_500fps_u,StreamingFIFO_rtl_6,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingFIFO_rtl_7,43,35,0,8,15,0,0,0
t2w2_500fps_u,StreamingFIFO_rtl_8,6,6,0,0,7,0,0,0
t2w2_500fps_u,StreamingFIFO_rtl_9,66,42,0,24,17,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1,13327,12075,560,692,15071,5,5,0
t2w4_50000fps_u,ConvolutionInputGenerator_hls_0,976,756,220,0,724,0,0,0
t2w4_50000fps_u,ConvolutionInputGenerator_hls_1,976,756,220,0,755,0,0,0
t2w4_50000fps_u,ConvolutionInputGenerator_hls_2,759,699,60,0,476,0,0,0
t2w4_50000fps_u,ConvolutionInputGenerator_hls_3,752,692,60,0,475,0,0,0
t2w4_50000fps_u,FMPadding_hls_0,112,112,0,0,124,0,0,0
t2w4_50000fps_u,FMPadding_hls_1,105,105,0,0,121,0,0,0
t2w4_50000fps_u,FMPadding_hls_2,74,74,0,0,70,0,0,0
t2w4_50000fps_u,FMPadding_hls_3,71,71,0,0,68,0,0,0
t2w4_50000fps_u,LabelSelect_hls_0,66,66,0,0,66,0,0,0
t2w4_50000fps_u,MVAU_hls_0,3800,3800,0,0,3734,3,0,0
t2w4_50000fps_u,MVAU_hls_1,1486,1486,0,0,2126,2,0,0
t2w4_50000fps_u,MVAU_hls_2,485,485,0,0,547,0,1,0
t2w4_50000fps_u,MVAU_hls_3,678,678,0,0,833,0,1,0
t2w4_50000fps_u,MVAU_hls_4,277,277,0,0,334,0,1,0
t2w4_50000fps_u,StreamingDataWidthConverter_hls_0,558,558,0,0,1765,0,0,0
t2w4_50000fps_u,StreamingDataWidthConverter_hls_1,483,483,0,0,1694,0,0,0
t2w4_50000fps_u,StreamingDataWidthConverter_rtl_0,12,12,0,0,51,0,0,0
t2w4_50000fps_u,StreamingDataWidthConverter_rtl_1,11,11,0,0,51,0,0,0
