Hardware config,Submodule Instance,isRTL,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),PE,Padding (dimensions flattened),SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,outputDataType (bits),parallel_window,isRam_styleAuto,isRam_styleDistributed,isRestypeAuto,isRestypeLut,weightDataType (bits),Total LUT,BRAM (36k eq.),DSP Blocks
builds_t2w2_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,1,9.0,1.0,8.0,100.0,,,,,,,16.0,,,1.0,4.0,,1336.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,161,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,1,9.0,1.0,16.0,36.0,,,,,,,4.0,,,1.0,4.0,,816.0,2.0,,,1,0,0,0,0,2.0,0.0,0,1,0,0,,172,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_0,1,,,,,1024.0,,,,,4.0,,,1.0,1.0,,,4624.0,8.0,,,0,1,0,0,0,,,0,0,0,0,,51,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_1,1,,,,,256.0,,,,,16.0,,,1.0,2.0,,,2592.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,46,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_2,1,,,,,64.0,,,,,8.0,,,1.0,1.0,,,800.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,41,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_3,1,,,,,16.0,,,,,16.0,,,1.0,1.0,,,576.0,2.0,,,0,1,0,0,0,,,0,0,0,0,,47,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,LabelSelect_hls_0,0,,,,,,1.0,6.0,,,,,1.0,,,,,6.0,7.0,,1.0,0,0,1,0,0,8.0,,0,0,0,0,,58,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,,,,16.0,36.0,,,1.0,,36.0,,13.0,4096.0,8.0,0.0,256.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,599,1.0,36
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,,,,8.0,144.0,,,1.0,,16.0,,9.0,4608.0,2.0,0.0,64.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,440,0.5,16
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,,,,16.0,72.0,,,1.0,,4.0,,8.0,4608.0,2.0,0.0,16.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,328,0.5,4
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,,,,8.0,144.0,,,1.0,,1.0,,9.0,4608.0,2.0,0.0,4.0,0,0,0,1,0,2.0,,0,0,1,0,2.0,779,0.5,1
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_4,0,,,,,,,,6.0,32.0,,,1.0,,1.0,,7.0,192.0,2.0,1.0,1.0,0,0,0,1,0,7.0,,0,0,1,0,2.0,322,0.5,1
builds_t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,8,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,18,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,0,0,0,0,,5,0.0,0
