Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
t1w8_run20_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT22,,,,[1],LabelSelect_hls,UINT8,,,,,,102,101,0.0,0
t1w4_run16_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w8_run21_80_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT22,,,,[1],LabelSelect_hls,UINT8,,,,,,102,101,0.0,0
t1w4_run21_80_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w4_run11_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT14,,,,[1],LabelSelect_hls,UINT8,,,,,,73,70,0.0,0
t1w2_run18_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run16_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w2_run21_20_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT12,,,,[1],LabelSelect_hls,UINT8,,,,,,67,64,0.0,0
t1w8_run21_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT22,,,,[1],LabelSelect_hls,UINT8,,,,,,102,101,0.0,0
t1w8_run14_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT22,,,,[1],LabelSelect_hls,UINT8,,,,,,102,101,0.0,0
