Hardware config,Submodule Instance,ConvKernelDim,Dilation,ImgDim (dimensions flattened),K,Labels,NumChannels,PE,Padding (dimensions flattened),SIMD,Stride,accDataType (bits),cycles_estimate,inputDataType (bits),numInputVectors,outputDataType (bits),weightDataType (bits),Total LUT,Total FFs,DSP Blocks
t2w2_run3_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w2_run5_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run5_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run5_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run5_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w8_run13_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run13_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run13_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run13_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w8_run16_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run16_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,8,,,,50,91,0
t2w8_run16_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run16_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run20_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w2_run20_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,2,,,,46,75,0
t2w2_run20_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run20_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run15_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run15_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run15_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run15_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w8_run12_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run12_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run12_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run12_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run1_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run1_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run1_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run1_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w2_run26_10_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w2_run26_10_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,2,,,,45,74,0
t2w2_run26_10_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run26_10_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run23_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w4_run23_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,4,,,,49,90,0
t2w4_run23_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run23_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run1_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w4_run1_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,4,,,,49,90,0
t2w4_run1_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run1_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w8_run19_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w8_run19_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,8,,,,50,91,0
t2w8_run19_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run19_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run9_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run9_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run9_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run9_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w8_run14_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run14_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,8,,,,50,91,0
t2w8_run14_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run14_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run6_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run6_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run6_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run6_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run20_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w4_run20_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run20_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run20_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w4_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,4,,,,49,90,0
t2w4_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w8_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w8_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,8,,,,72,184,0
t2w8_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,8,,,,44,81,0
t2w8_run26_40_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,8,,,,50,73,0
t2w2_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w2_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,2,,,,45,74,0
t2w2_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w8_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w8_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,8,,,,72,184,0
t2w8_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,8,,,,44,81,0
t2w8_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,8,,,,50,73,0
t2w2_run8_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run8_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run8_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run8_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run0,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run0,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,4,,,,47,76,0
t2w4_run0,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run0,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w4_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,4,,,,56,120,0
t2w4_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,4,,,,40,65,0
t2w4_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,4,,,,46,57,0
t2w4_run16_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run16_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run16_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run16_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run18_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w4_run18_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run18_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run18_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run10_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run10_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,4,,,,47,76,0
t2w4_run10_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run10_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w2_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w2_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,2,,,,48,88,0
t2w2_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,2,,,,40,65,0
t2w2_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,2,,,,46,57,0
t2w8_run22_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w8_run22_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,8,,,,57,122,0
t2w8_run22_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run22_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run8_10_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run8_10_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run8_10_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run8_10_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w8_run21_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w8_run21_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,8,,,,57,122,0
t2w8_run21_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run21_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w8_run20_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w8_run20_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,8,,,,50,91,0
t2w8_run20_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run20_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run18_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w2_run18_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,2,,,,46,75,0
t2w2_run18_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run18_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run8_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run8_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,4,,,,47,76,0
t2w4_run8_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run8_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run13_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run13_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,4,,,,47,76,0
t2w4_run13_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run13_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w2_run19_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w2_run19_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,2,,,,46,75,0
t2w2_run19_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run19_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run14_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run14_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run14_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run14_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w8_run2_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run2_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run2_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run2_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w2_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,2,,,,48,88,0
t2w2_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,2,,,,40,65,0
t2w2_run26_20_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,2,,,,46,57,0
t2w4_run17_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w4_run17_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run17_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run17_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w4_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w4_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,4,,,,56,120,0
t2w4_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,4,,,,40,65,0
t2w4_run26_10_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,4,,,,46,57,0
t2w2_run10_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run10_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,2,,,,47,76,0
t2w2_run10_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run10_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w8_run26_80_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w8_run26_80_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,8,,,,57,122,0
t2w8_run26_80_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run26_80_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w8_run7_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run7_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run7_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run7_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w4_run9_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run9_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,4,,,,47,76,0
t2w4_run9_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run9_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w8_run0,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run0,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run0,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run0,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w8_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w8_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,8,,,,57,122,0
t2w8_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run26_20_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w2_run22_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w2_run22_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,2,,,,45,74,0
t2w2_run22_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run22_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w8_run1_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run1_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run1_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run1_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w4_run19_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w4_run19_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,4,,,,46,75,0
t2w4_run19_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run19_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w2_run25_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w2_run25_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,2,,,,45,74,0
t2w2_run25_80_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run25_80_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run4_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w4_run4_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,4,,,,47,76,0
t2w4_run4_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,4,,,,41,66,0
t2w4_run4_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,4,,,,47,58,0
t2w2_run14_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w2_run14_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,2,,,,46,75,0
t2w2_run14_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,2,,,,41,66,0
t2w2_run14_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,2,,,,47,58,0
t2w4_run26_80_modify_folding_naive_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w4_run26_80_modify_folding_naive_BOTH,FMPadding_rtl_1,,,256,,,16,,1,8,,,648,4,,,,56,120,0
t2w4_run26_80_modify_folding_naive_BOTH,FMPadding_rtl_2,,,64,,,8,,1,2,,,400,4,,,,40,65,0
t2w4_run26_80_modify_folding_naive_BOTH,FMPadding_rtl_3,,,16,,,16,,1,2,,,288,4,,,,46,57,0
t2w8_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w8_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,8,,,,57,122,0
t2w8_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run26_40_modify_folding_greedy_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w8_run17_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,,2312,8,,,,65,97,0
t2w8_run17_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,,2592,8,,,,50,91,0
t2w8_run17_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run17_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w8_run1_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,,4624,8,,,,51,83,0
t2w8_run1_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,,5184,8,,,,47,76,0
t2w8_run1_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,,800,8,,,,41,66,0
t2w8_run1_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,,576,8,,,,47,58,0
t2w4_run25_80_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,4,,,1156,8,,,,64,129,0
t2w4_run25_80_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,4,,,1296,4,,,,49,90,0
