ConvKernelDim,Dilation,K,Labels,Padding,Stride,inWidth,numInputVectors,PE,isRam_styleAuto,resType,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks,depth
,,,,,,2.0,,,1,,1,106,29,0.0,0,149.0
,,,,,,2.0,,,1,,1,120,29,0.0,0,199.0
,,,,,,,,,1,,1,119,35,0.0,0,76.0
,,,,,,,,,1,,0,110,41,0.0,0,2.0
,,,,,,,,,1,,1,105,29,0.0,0,147.0
,,,,,,,,,1,,1,395,78,0.0,0,158.0
,,,,,,8.0,,,1,,1,2744,404,0.0,0,235.0
,,,,,,,,,1,,1,85,27,0.0,0,71.0
,,,,,,2.0,,,1,,1,60,25,0.0,0,56.0
,,,,,,4.0,,,1,,1,85,27,0.0,0,110.0
,,,,,,4.0,,,1,,1,15,22,0.0,0,2.0
,,,,,,9.0,,,1,,1,23,38,0.0,0,2.0
,,,,,,4.0,,,1,,1,55,24,0.0,0,32.0
,,,,,,4.0,,,1,,1,108,29,0.0,0,138.0
,,,,,,4.0,,,1,,1,62,25,0.0,0,61.0
,,,,,,4.0,,,1,,1,82,27,0.0,0,69.0
,,,,,,4.0,,,1,,1,84,27,0.0,0,124.0
,,,,,,4.0,,,1,,1,62,25,0.0,0,49.0
,,,,,,4.0,,,1,,1,69,27,0.0,0,65.0
,,,,,,4.0,,,1,,1,108,29,0.0,0,140.0
,,,,,,4.0,,,1,,1,83,27,0.0,0,98.0
,,,,,,,,,1,,1,193,37,0.0,0,219.0
,,,,,,4.0,,,1,,1,112,29,0.0,0,188.0
,,,,,,4.0,,,1,,1,105,29,0.0,0,148.0
,,,,,,,,,1,,0,125,35,0.0,0,2.0
,,,,,,,,,1,,1,109,41,0.0,0,62.0
,,,,,,4.0,,,1,,1,125,29,0.0,0,198.0
,,,,,,,,,1,,1,155,43,0.0,0,75.0
,,,,,,4.0,,,1,,1,106,29,0.0,0,157.0
,,,,,,,,,1,,1,188,51,0.0,0,82.0
,,,,,,,,,1,,0,132,49,0.0,0,2.0
,,,,,,,,,1,,1,86,33,0.0,0,45.0
,,,,,,4.0,,,1,,1,122,29,0.0,0,206.0
,,,,,,,,,1,,1,245,59,0.0,0,104.0
,,,,,,,,,1,,1,86,33,0.0,0,61.0
,,,,,,4.0,,,1,,1,120,29,0.0,0,216.0
,,,,,,,,,1,,0,502,85,0.0,0,2.0
,,,,,,,,,1,,0,180,65,0.0,0,2.0
,,,,,,4.0,,,1,,1,123,29,0.0,0,230.0
,,,,,,,,,1,,1,162,80,0.0,0,32.0
,,,,,,,,,1,,1,228,81,0.0,0,40.0
,,,,,,4.0,,,1,,1,23,38,0.0,0,2.0
,,,,,,,,,1,,1,228,81,0.0,0,62.0
,,,,,,,,,1,,1,500,89,0.0,0,155.0
,,,,,,,,,1,,1,106,29,0.0,0,145.0
,,,,,,,,,1,,1,251,89,0.0,0,50.0
,,,,,,4.0,,,1,,1,122,29,0.0,0,213.0
,,,,,,,,,1,,1,736,133,0.0,0,159.0
,,,,,,,,,1,,1,84,33,0.0,0,38.0
,,,,,,,,,1,,1,124,35,0.0,0,116.0
,,,,,,4.0,,,1,,1,39,70,0.0,0,2.0
,,,,,,,,,1,,1,134,49,0.0,0,43.0
,,,,,,,,,1,,1,118,35,0.0,0,69.0
,,,,,,,,,1,,1,118,35,0.0,0,70.0
,,,,,,,,,1,,1,130,64,0.0,0,32.0
,,,,,,4.0,,,1,,1,170,37,0.0,0,185.0
,,,,,,,,,1,,1,923,218,0.0,0,79.0
,,,,,,4.0,,,1,,1,60,25,0.0,0,54.0
,,,,,,,,,1,,1,86,33,0.0,0,55.0
,,,,,,,,,1,,1,190,51,0.0,0,81.0
,,,,,,,,,1,,1,85,33,0.0,0,57.0
,,,,,,4.0,,,1,,1,71,134,0.0,0,2.0
,,,,,,4.0,,,1,,1,59,25,0.0,0,50.0
,,,,,,8.0,,,1,,1,85,27,0.0,0,110.0
,,,,,,17.0,,,1,,1,31,54,0.0,0,2.0
,,,,,,8.0,,,1,,1,55,24,0.0,0,32.0
,,,,,,8.0,,,1,,1,108,29,0.0,0,138.0
,,,,,,8.0,,,1,,1,62,25,0.0,0,61.0
,,,,,,8.0,,,1,,1,82,27,0.0,0,69.0
,,,,,,8.0,,,1,,1,84,27,0.0,0,124.0
,,,,,,8.0,,,1,,1,60,25,0.0,0,48.0
,,,,,,,,,1,,1,195,37,0.0,0,251.0
,,,,,,8.0,,,1,,1,69,27,0.0,0,65.0
,,,,,,,,,1,,0,117,35,0.0,0,2.0
,,,,,,8.0,,,1,,1,108,29,0.0,0,140.0
,,,,,,8.0,,,1,,1,83,27,0.0,0,98.0
,,,,,,,,,1,,1,265,45,0.0,0,219.0
,,,,,,8.0,,,1,,1,112,29,0.0,0,188.0
,,,,,,8.0,,,1,,1,105,29,0.0,0,148.0
,,,,,,,,,1,,0,205,51,0.0,0,2.0
,,,,,,,,,1,,1,180,65,0.0,0,62.0
,,,,,,,,,1,,0,540,130,0.0,0,2.0
,,,,,,8.0,,,1,,1,125,29,0.0,0,197.0
,,,,,,,,,1,,1,263,67,0.0,0,75.0
,,,,,,,,,1,,1,120,35,0.0,0,93.0
,,,,,,8.0,,,1,,1,106,29,0.0,0,157.0
,,,,,,,,,1,,1,337,88,0.0,0,82.0
,,,,,,,,,1,,0,1139,172,0.0,0,2.0
,,,,,,,,,1,,0,61,25,0.0,0,2.0
,,,,,,,,,1,,0,652,107,0.0,0,2.0
,,,,,,,,,1,,0,228,81,0.0,0,2.0
,,,,,,,,,1,,1,110,41,0.0,0,45.0
,,,,,,8.0,,,1,,1,122,29,0.0,0,206.0
,,,,,,,,,1,,1,416,101,0.0,0,104.0
,,,,,,,,,1,,1,110,41,0.0,0,61.0
,,,,,,8.0,,,1,,1,120,29,0.0,0,216.0
,,,,,,,,,1,,1,70,33,0.0,0,33.0
,,,,,,,,,1,,0,331,118,0.0,0,2.0
,,,,,,,,,1,,1,134,49,0.0,0,45.0
,,,,,,8.0,,,1,,1,123,29,0.0,0,230.0
,,,,,,,,,1,,1,287,145,0.0,0,32.0
,,,,,,,,,1,,1,119,35,0.0,0,78.0
,,,,,,,,,1,,1,194,37,0.0,0,232.0
,,,,,,,,,1,,1,430,151,0.0,0,40.0
,,,,,,,,,1,,1,430,151,0.0,0,62.0
,,,,,,,,,1,,1,911,175,0.0,0,155.0
,,,,,,,,,1,,1,161,37,0.0,0,144.0
,,,,,,,,,1,,1,478,167,0.0,0,50.0
,,,,,,,,,1,,1,125,35,0.0,0,102.0
,,,,,,,,,1,,1,126,35,0.0,0,107.0
,,,,,,8.0,,,1,,1,196,37,0.0,0,213.0
,,,,,,,,,1,,1,1340,251,0.0,0,159.0
,,,,,,,,,1,,1,123,35,0.0,0,114.0
,,,,,,,,,1,,1,133,49,0.0,0,38.0
,,,,,,,,,1,,1,204,51,0.0,0,116.0
,,,,,,8.0,,,1,,1,71,134,0.0,0,2.0
,,,,,,,,,1,,1,230,81,0.0,0,43.0
,,,,,,,,,1,,1,189,51,0.0,0,68.0
,,,,,,,,,1,,1,154,43,0.0,0,70.0
,,,,,,,,,1,,1,226,112,0.0,0,32.0
,,,,,,8.0,,,1,,1,296,59,0.0,0,185.0
,,,,,,,,,1,,1,1796,417,0.0,0,79.0
,,,,,,8.0,,,1,,1,62,25,0.0,0,53.0
,,,,,,,,,1,,1,134,49,0.0,0,55.0
,,,,,,,,,1,,1,593,1168,0.0,0,2.0
,,,,,,,,,1,,1,339,88,0.0,0,81.0
,,,,,,8.0,,,1,,1,62,25,0.0,0,49.0
,,,,,,8.0,,,1,,1,135,263,0.0,0,2.0
,,,,,,,,,1,,1,1200,611,0.0,0,32.0
,,,,,,8.0,,,1,,1,59,25,0.0,0,50.0
