Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,FFs
t1w4_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,75
t1w4_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,,,,1285
t1w4_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,,,,449
t1w4_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,,,,8585
t1w4_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,,,,110
t1w4_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,24
t1w4_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,,,,15
t1w4_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,29
t1w4_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,69
t1w4_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,2,,20
t1w4_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,vivado,593,,57
t1w4_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,12
t1w4_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,36
t1w4_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,12
t1w4_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,vivado,338,,53
t1w4_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,rtl,2,,32
t1w4_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,10
t1w4_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,17676
t1w4_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,,,0,724
t1w4_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,,,,124
t1w4_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,75
t1w4_50000fps_u,MVAU_hls_0,5,18,auto,auto,internal_decoupled,0,2,2,,,,4382
t1w4_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,,,,1058
t1w4_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,,,,8585
t1w4_50000fps_u,StreamingDataWidthConverter_hls_0,,,,,,,2,2,,,,1765
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,,,,51
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,104
t1w4_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,1022,,,,15
t1w4_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,435,,35
t1w4_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,rtl,2,,36
t1w4_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,rtl,2,,10
t1w4_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,45
t1w4_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,68
t1w4_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,293
t1w4_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,43
t1w4_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,163
t1w4_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,11
t1w4_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,57
t1w4_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,32
t1w8_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,20477
t1w8_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,,,0,520
t1w8_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,95
t1w8_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,99
t1w8_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,,,,1363
t1w8_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,,,,894
t1w8_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,,,,16931
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,,,,110
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,44
t1w8_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,,,,27
t1w8_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,29
t1w8_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,69
t1w8_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,2,,20
t1w8_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,vivado,593,,57
t1w8_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,20
t1w8_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,68
t1w8_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,20
t1w8_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,vivado,338,,53
t1w8_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,rtl,2,,48
t1w8_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,10
t1w8_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,27531
t1w8_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,,,0,724
t1w8_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,,,,124
t1w8_50000fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,99
t1w8_50000fps_u,MVAU_hls_0,10,9,auto,auto,internal_decoupled,0,2,2,,,,5294
t1w8_50000fps_u,MVAU_hls_1,1,20,auto,auto,internal_decoupled,0,2,2,,,,1389
t1w8_50000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,1022,2,,,,16931
t1w8_50000fps_u,StreamingDataWidthConverter_hls_0,,,,,,,2,2,,,,1696
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,146,,,,51
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,,,,243
t1w8_50000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,1022,,,,27
t1w8_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,435,,35
t1w8_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,rtl,2,,35
t1w8_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,rtl,2,,10
t1w8_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,45
t1w8_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,68
t1w8_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,148
t1w8_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,163
t1w8_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,325
t1w8_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,19
t1w8_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,57
t1w8_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,48
