Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,RAMB36,RAMB18
t1w8_50000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,435,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_10,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,rtl,146,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,rtl,2,,0,0
t1w8_50000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,vivado,1022,,0,1
t1w8_50000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,rtl,2,,0,0
