session,run_name,logical_fifo_name,chain_length,dataType_bits,tensor_volume,ram_style,impl_style,produtor_node,produtor_op,produtor_PE,produtor_cycles,p_throughput,p_transfers,consumidor_node,consumidor_op,consumidor_SIMD,consumidor_cycles,c_throughput,c_transfers,parallelism_mismatch,real_depth,cycle_ratio,theoretical_accumulation,theoretical_fifo_depth
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,576,auto,rtl,FMPadding_rtl_3,FMPadding_rtl,1,576,0.001736111111111111,576.0,ConvolutionInputGenerator_rtl_3,ConvolutionInputGenerator_rtl,1,816,0.0012254901960784314,576.0,0,2,0.7058823529411765,169.41176470588232,169.41176470588232
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,576,auto,rtl,ConvolutionInputGenerator_rtl_3,ConvolutionInputGenerator_rtl,1,816,0.0012254901960784314,576.0,MVAU_hls_3,MVAU_hls,1,4608,0.00021701388888888888,576.0,0,110,0.17708333333333334,474.0,474.0
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,2,32,auto,rtl,MVAU_hls_3,MVAU_hls,1,4608,0.00021701388888888888,32.0,MVAU_hls_4,MVAU_hls,1,192,0.005208333333333333,32.0,0,2,24.0,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,7,6,auto,rtl,MVAU_hls_4,MVAU_hls,1,192,0.005208333333333333,6.0,LabelSelect_hls_0,LabelSelect_hls,1,6,0.16666666666666666,6.0,0,2,32.0,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run1_baseline_folded,StreamingFIFO_rtl,1,8,1,auto,rtl,LabelSelect_hls_0,LabelSelect_hls,1,6,0.16666666666666666,1.0,Output_Node,Output,1,1,1.0,1.0,0,2,6.0,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run8_optimized,StreamingFIFO_rtl_0,3,8,4096,auto,vivado,Input_Node,Input,1,1,1.0,4096.0,FMPadding_rtl_0,FMPadding_rtl,1,4624,0.00021626297577854672,4096.0,0,868,0.00021626297577854672,4095.114186851211,4095.114186851211
SAT6_T2W2_2026-04-02_15-14-59,run8_optimized,StreamingFIFO_rtl_1,3,8,4624,auto,vivado,FMPadding_rtl_0,FMPadding_rtl,1,4624,0.00021626297577854672,4624.0,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,1,9500,0.00010526315789473685,4624.0,0,4624,0.48673684210526313,2373.3288421052634,2373.3288421052634
SAT6_T2W2_2026-04-02_15-14-59,run8_optimized,StreamingFIFO_rtl,1,8,9216,auto,rtl,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,1,9500,0.00010526315789473685,9216.0,StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,1,1,1.0,9216.0,0,2,9500.0,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run8_optimized,StreamingFIFO_rtl_3,2,8,9216,auto,rtl,StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,1,1,1.0,9216.0,MVAU_hls_0,MVAU_hls,12,12288,0.0009765625,768.0,1,368,8.138020833333333e-05,9215.25,9215.25
SAT6_T2W2_2026-04-02_15-14-59,run8_optimized,StreamingFIFO_rtl,1,2,4096,auto,rtl,MVAU_hls_0,MVAU_hls,1,12288,8.138020833333333e-05,4096.0,FMPadding_rtl_1,FMPadding_rtl,1,5184,0.00019290123456790122,4096.0,0,198,2.3703703703703702,0.0,0.0
