run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
21,38580.25,5946,4528,0,1418,6490,4.5,119,11.18,6.1,3.21,54.09,54.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 124, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 2, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 49, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 37, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
22,40650.41,5732,4538,0,1194,6499,4.5,119,10.77,6.11,3.21,54.09,54.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 47, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 153, 'StreamingFIFO_8': 2, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 49, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 37, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
23,42105.26,5720,4554,0,1166,6499,4.5,119,10.75,6.11,3.21,54.09,54.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 47, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 38, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 49, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 37, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
24,43252.6,5685,4519,0,1166,6493,4.5,119,10.69,6.1,3.21,54.09,54.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 2, 'StreamingFIFO_3': 144, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 47, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 38, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 49, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 37, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
25,43402.78,5465,4499,0,966,6479,4.5,119,10.27,6.09,3.21,54.09,54.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 144, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 47, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 38, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 49, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 37, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 89, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
26,48828.12,5413,4449,0,964,6509,4.5,121,10.17,6.12,3.21,55.0,55.0,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 144, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 47, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 38, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 49, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 59, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
27,65104.17,6369,5051,0,1318,7747,7.0,208,11.97,7.28,5.0,94.55,94.55,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 32, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 148, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 83, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 56, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 37, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 59, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
28,74850.3,6378,5068,0,1310,8268,8.0,239,11.99,7.77,5.71,108.64,108.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 32, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 148, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 32, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 54, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 2, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 53, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
29,77160.49,6352,5056,0,1296,8258,8.0,239,11.94,7.76,5.71,108.64,108.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 32, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 148, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 32, 'StreamingFIFO_8': 32, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 54, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 32, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 53, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
30,81300.81,5695,5023,0,672,8396,8.0,239,10.7,7.89,5.71,108.64,108.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 32, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 2, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 87, 'StreamingFIFO_8': 32, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 54, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 32, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 53, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
31,86355.79,5624,4974,0,650,8400,8.0,239,10.57,7.89,5.71,108.64,108.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 32, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 2, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 38, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 54, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 32, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 53, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
