hw_name_base,estimated_fps,Total LUTs,FFs,BRAM (36k),DSP Blocks,folding_config
final_optimized_drop3_model_try10,13683.634373289546,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try11,16160.310277957336,1877,1548,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 2}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try12,19623.233908948194,1869,1552,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 2}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try13,27367.26874657909,1869,1552,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 2}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try14,27777.777777777777,1826,1619,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 4}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try15,30048.076923076922,1830,1621,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 2}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 4}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try16,31397.174254317113,1833,1636,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 2}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 4}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 13}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try17,32051.28205128205,1833,1636,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 2}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 4}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 13}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 13}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try18,39246.46781789639,1833,1636,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 2}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 4}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 13}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 13}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 5}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try19,42735.042735042734,1833,1636,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 2}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 4}, ""MVAU_hls_0"": {""PE"": 13, ""SIMD"": 36}, ""FMPadding_rtl_1"": {""SIMD"": 13}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 13}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 13}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 5}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
