run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
21,22045.86,5208,3902,0,1306,5156,3.6,54,9.79,4.85,2.57,24.55,24.55,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 72, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 167, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 67, 'StreamingFIFO_8': 35, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 82, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
22,23228.8,5038,3964,0,1074,5186,3.6,54,9.47,4.87,2.57,24.55,24.55,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 72, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 83, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 487, 'StreamingFIFO_8': 35, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 82, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
23,24801.59,4802,3854,0,948,5154,3.6,54,9.03,4.84,2.57,24.55,24.55,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 72, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 83, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 87, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 82, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
24,27901.79,4784,3838,0,946,5220,3.6,57,8.99,4.91,2.57,25.91,25.91,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 72, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 83, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 87, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
25,28935.19,4946,4008,0,938,5576,4.1,92,9.3,5.24,2.93,41.82,41.82,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 91, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 87, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
26,33068.78,4954,4016,0,938,5577,4.6,98,9.31,5.24,3.29,44.55,44.55,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 91, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 81, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 52, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
27,37202.38,4945,4011,0,934,5577,4.6,99,9.3,5.24,3.29,45.0,45.0,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 91, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 81, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 52, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 52, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
28,42105.26,4945,4011,0,934,5577,4.6,99,9.3,5.24,3.29,45.0,45.0,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 94, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 91, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 81, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 52, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 52, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
29,43252.6,4890,3972,0,918,5571,4.6,99,9.19,5.24,3.29,45.0,45.0,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 434, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 2, 'StreamingFIFO_3': 75, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 91, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 81, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 52, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 52, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
30,43402.78,4670,3952,0,718,5557,4.6,99,8.78,5.22,3.29,45.0,45.0,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 219, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 70, 'StreamingFIFO_3': 75, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 91, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 2, 'StreamingFIFO_8': 81, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 52, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 36, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 52, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
