NodeName,OpType,AttributeName,AttributeValue
StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,normal_shape,"[1, 16, 16, 20]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_5,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,ActVal,0
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,MH,8
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,MW,20
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,PE,1
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,SIMD,4
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,binaryXnorMode,0
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,inputDataType,b'UINT2'
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,noActivation,0
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,numInputVectors,"[1, 16, 16]"
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,outputDataType,b'UINT2'
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,weightDataType,b'INT2'
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,accDataType,b'INT6'
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,resType,b'auto'
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,inFIFODepths,[2]
StreamingDataflowPartition_1_MVAU_hls_1,MVAU_hls,outFIFODepths,[2]
StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,dataType,b'UINT2'
StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,depth,2
StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,folded_shape,"[1, 16, 16, 8, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,normal_shape,"[1, 16, 16, 8]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_6,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,dataType,b'UINT2'
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,inWidth,2
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,outWidth,4
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,shape,"[1, 16, 16, 8]"
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,inFIFODepths,[2]
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,StreamingDataWidthConverter_rtl,outFIFODepths,[338]
StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,dataType,b'UINT2'
StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,depth,338
StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,folded_shape,"[1, 16, 16, 4, 2]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,impl_style,b'vivado'
StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,normal_shape,"[1, 16, 16, 8]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_7,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,ActVal,0
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,MH,6
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,MW,2048
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,PE,1
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,SIMD,2
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,binaryXnorMode,0
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,inputDataType,b'UINT2'
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,noActivation,1
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,numInputVectors,[1]
StreamingDataflowPartition_1_MVAU_hls_2,MVAU_hls,outputDataType,b'INT12'
