Hardware config,Submodule Instance,ConvKernelDim,Dilation,K,Labels,PE,Padding,Stride,numInputVectors,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,170,37,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,23,38,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,49,53,2.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,49,53,0.5,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,55,24,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,15,22,0.0,0
builds_t2w2_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,165,43,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,319,37,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_12,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_13,,,,,,,,,86,33,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_14,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_16,,,,,,,,,122,29,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,23,38,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,170,37,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,23,38,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,49,53,2.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,49,53,0.5,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,55,24,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,15,22,0.0,0
builds_t2w4_run11_20_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,245,59,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,331,44,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,23,38,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,55,24,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_12,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_13,,,,,,,,,71,32,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_14,,,,,,,,,55,24,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_16,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,86,27,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,191,51,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_20,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,39,70,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,301,588,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,122,29,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,55,24,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,15,22,0.0,0
builds_t2w2_run19_40_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,391,76,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,331,44,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,23,38,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,55,24,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_12,,,,,,,,,15,22,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_13,,,,,,,,,130,64,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_14,,,,,,,,,55,24,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_16,,,,,,,,,15,22,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,126,35,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,15,22,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,31,54,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,191,51,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_20,,,,,,,,,15,22,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,39,70,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,301,588,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,196,37,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,23,38,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,98,48,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,39,70,0.0,0
builds_t2w8_run19_80_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,1340,251,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_0,,,,,,,,,341,58,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_1,,,,,,,,,39,70,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_10,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_12,,,,,,,,,82,40,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_13,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_14,,,,,,,,,15,22,0.0,0
builds_t2w2_run26_40_modify_folding_naive_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
