Repo,Instance,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,939,759,180,0,520,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,99,99,0,0,95,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,99,99,0,0,99,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,2993,2993,0,0,863,0,1,1
t1w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,2912,2912,0,0,728,0,1,1
t1w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6176,6176,0,0,16931,4,0,2
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,7,7,0,0,27,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,299,75,0,224,29,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,30,30,0,0,69,2,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,30,30,0,0,73,4,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,12,12,0,0,20,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,11,11,0,0,19,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,54,38,0,16,26,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,26,26,0,0,48,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,7,7,0,0,10,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1,14034,13630,180,224,20477,10,3,18
t1w8_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,931,751,180,0,520,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,99,99,0,0,95,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,99,99,0,0,99,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,3267,3267,0,0,1363,1,1,12
t1w8_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,2914,2914,0,0,894,0,1,4
t1w8_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6182,6182,0,0,16931,4,0,2
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,11,11,0,0,110,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,8,0,0,44,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,7,7,0,0,27,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,298,74,0,224,29,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,30,30,0,0,69,2,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,43,43,0,0,57,3,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,36,36,0,0,68,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,47,47,0,0,53,0,1,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,26,26,0,0,48,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,7,7,0,0,10,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1,39293,38689,220,384,27531,15,2,124
t1w8_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,975,755,220,0,724,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,112,112,0,0,124,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,99,99,0,0,99,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,27281,27281,0,0,5294,9,0,100
t1w8_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,3078,3078,0,0,1389,2,1,22
t1w8_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6172,6172,0,0,16931,4,0,2
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,489,489,0,0,1696,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,12,12,0,0,51,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,43,43,0,0,243,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,7,7,0,0,27,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,310,86,0,224,35,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,19,19,0,0,35,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,7,7,0,0,10,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,258,98,0,160,45,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,36,36,0,0,68,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,77,77,0,0,148,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,83,83,0,0,163,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,165,165,0,0,325,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,11,11,0,0,19,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,44,44,0,0,57,0,1,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,26,26,0,0,48,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1,6500,5904,330,266,4753,6,8,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,924,744,180,0,520,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,797,707,90,0,461,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,720,690,30,0,456,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,704,674,30,0,455,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_FMPadding_hls_0,99,99,0,0,95,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_FMPadding_hls_1,87,87,0,0,71,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_FMPadding_hls_2,72,72,0,0,62,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_FMPadding_hls_3,71,71,0,0,60,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_LabelSelect_hls_0,54,54,0,0,54,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,377,377,0,0,513,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,669,669,0,0,480,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,306,306,0,0,349,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,662,662,0,0,476,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_4,276,276,0,0,233,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,4,4,0,0,9,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,299,75,0,224,29,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,30,30,0,0,69,2,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,40,32,0,8,14,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,47,47,0,0,53,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,5,5,0,0,8,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_14,11,11,0,0,18,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_15,7,7,0,0,10,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,30,30,0,0,73,4,0,0
